vertex,score
0,0.0016144528484548883
1,8.54490634327485E-4
2,1.5000000000000001E-4
3,0.0011961116676727959
4,0.001626068075680975
5,5.28088033173008E-4
6,4.6966124737406336E-4
7,7.900746978558804E-4
8,0.0023105754237521437
9,0.0013780759263665046
10,9.8139728055798E-4
11,5.914369980218766E-4
12,0.0014656908928965076
13,5.661319501724944E-4
14,0.001925031194467204
15,0.0012473518952710273
16,8.79458819327622E-4
17,0.0013804151827434572
18,5.776393055239461E-4
19,8.995554788423753E-4
20,9.581660123859417E-4
21,0.001749747219581151
22,0.0014946088597283084
23,7.629492864503677E-4
24,5.488677221318528E-4
25,0.0010813024661391706
26,6.546222584126094E-4
27,0.0015055411614035828
28,8.070158527741639E-4
29,6.165240164630984E-4
30,0.0015787085500509196
31,0.001778947361967477
32,3.824470372986886E-4
33,0.0012049959760675525
34,3.114014210247538E-4
35,0.001712677024001478
36,3.202057333192758E-4
37,0.0013105381182007768
38,6.714876980304487E-4
39,1.5000000000000001E-4
40,4.900416845484035E-4
41,0.0010408034150496963
42,9.020866060386512E-4
43,6.928405338392002E-4
44,7.201750862447742E-4
45,0.0010084482090949127
46,8.74484261818712E-4
47,7.249054379902325E-4
48,3.9754734922778904E-4
49,9.346042359989067E-4
50,7.180151386618662E-4
51,6.442102000429716E-4
52,0.001042041125629367
53,4.6972789664217844E-4
54,5.010812118834112E-4
55,7.876319755725134E-4
56,0.001122646973513251
57,0.0013932392291890374
58,6.228833791784989E-4
59,8.130228814148202E-4
60,0.0013680939622562778
61,7.936077342281212E-4
62,8.842943394727536E-4
63,7.747933086930525E-4
64,0.0020158332175641775
65,0.0030071316822652292
66,9.734567078056402E-4
67,0.0022569003899941572
68,4.800107393914074E-4
69,0.0014031201552093925
70,0.0015162522161965768
71,6.166847933238731E-4
72,8.422962704992967E-4
73,4.4336171604494743E-4
74,0.0011952314587310208
75,0.0015383601415814572
76,2.9531188764678705E-4
77,0.0013676412950207185
78,5.128562284008643E-4
79,0.0012550292961524255
80,0.0013057988370825616
81,7.873322148382452E-4
82,0.001522279088107055
83,9.057256936262924E-4
84,4.919827903279955E-4
85,0.0013072453615684816
86,3.7855045667964675E-4
87,0.0010992275170369
88,2.909528026608689E-4
89,0.0011029718499012966
90,8.817547339273276E-4
91,0.001465466409224471
92,6.240297768510203E-4
93,0.0012000784180067048
94,8.398334628490087E-4
95,0.0021064389377644568
96,6.806095437196792E-4
97,7.269119663377059E-4
98,6.772545891428626E-4
99,8.255654642902753E-4
100,6.205337171386747E-4
101,4.964208737228528E-4
102,6.053290798194908E-4
103,7.06135165622234E-4
104,0.002020174325605806
105,9.345620666075374E-4
106,7.266862730713023E-4
107,0.0012683826057316614
108,8.042387226137953E-4
109,0.0010238272290197708
110,5.759581777456055E-4
111,0.0010905067639216492
112,6.182705372798825E-4
113,9.503569319277263E-4
114,0.001113476164888363
115,4.1602011152975957E-4
116,7.132714553917864E-4
117,9.064761880402166E-4
118,0.0012771053543602997
119,9.688552461294553E-4
120,4.5176416646229746E-4
121,0.0013537629238247304
122,6.659911325328221E-4
123,0.001270422571600457
124,3.877760357467163E-4
125,5.988329874413803E-4
126,0.0010832988208970779
127,0.0012535075773204125
128,7.056449320409769E-4
129,7.390989062486138E-4
130,0.001026149468470829
131,7.637776055297245E-4
132,9.577881360867125E-4
133,4.38192978985003E-4
134,4.022484649946035E-4
135,6.851509642782121E-4
136,6.179069029907759E-4
137,0.0015970613568430647
138,8.017685456349614E-4
139,0.001063783875565311
140,8.902909405950575E-4
141,7.690017288612587E-4
142,4.757270421486242E-4
143,7.385872188054057E-4
144,0.0016477899135022935
145,0.0013058966702471577
146,7.142191741931786E-4
147,0.0013924018075408262
148,7.264840402609914E-4
149,8.123736106422477E-4
150,9.066669623765324E-4
151,0.0035284070747455903
152,7.627542280359471E-4
153,6.487079103003513E-4
154,0.0011581025982493349
155,7.863164916224868E-4
156,0.0014963397746167386
157,7.741510450399889E-4
158,0.0019611256293497136
159,0.0011267775539873359
160,7.422352366801225E-4
161,9.274077760068702E-4
162,0.0011559070639380374
163,8.404666920336174E-4
164,9.056857627095476E-4
165,6.358914508644674E-4
166,5.160219895621403E-4
167,2.6047140619468734E-4
168,7.825565218828644E-4
169,7.159109506486091E-4
170,3.658094658250936E-4
171,8.73165666742215E-4
172,0.0014137173371628713
173,4.0207198009895316E-4
174,0.00142957559845554
175,9.415931740723E-4
176,0.0011351237962423594
177,0.0014798316060112237
178,9.382917564787768E-4
179,0.0010087128707346616
180,8.264140984345727E-4
181,5.31126074747434E-4
182,6.354390551948504E-4
183,9.485503230267357E-4
184,8.900722027453557E-4
185,7.88928372473393E-4
186,6.158865083560971E-4
187,6.674861751230904E-4
188,0.0014612980537178685
189,9.74135133992778E-4
190,6.796228063030366E-4
191,5.302207798006794E-4
192,5.293323556575502E-4
193,7.333101484908774E-4
194,0.0016557437155057294
195,6.304222602813342E-4
196,8.936416439673687E-4
197,0.0011026734508616295
198,6.851080130193511E-4
199,0.0010966698211088246
200,8.580751562563782E-4
201,9.193103362827262E-4
202,0.0010090608543436934
203,0.0016553910357376216
204,4.1410604346629276E-4
205,0.0013116918695358073
206,8.009698829019032E-4
207,9.155147754785124E-4
208,5.201051320916199E-4
209,5.573028958732996E-4
210,6.933764100632421E-4
211,0.0019612199340592116
212,6.492329672854579E-4
213,7.383036432533825E-4
214,4.688133629189975E-4
215,0.0010573413505293428
216,9.46951023735116E-4
217,0.0011168278884022454
218,7.010798379293732E-4
219,0.0012879073300756843
220,7.616346091742383E-4
221,7.818558769733533E-4
222,4.958685579051936E-4
223,0.0012352832658004843
224,8.591933604879511E-4
225,0.0010878255772372245
226,7.868367301550884E-4
227,0.0011633749074178902
228,6.311526438852427E-4
229,5.784471634897085E-4
230,9.661874234188715E-4
231,2.046311210125847E-4
232,8.753403584824209E-4
233,4.3160609331892227E-4
234,1.5000000000000001E-4
235,0.0018389075999161943
236,5.916891066539898E-4
237,6.113742548053028E-4
238,0.0016420014000721901
239,6.709625812185431E-4
240,4.362417800811668E-4
241,0.0012688249209630528
242,5.780792372707203E-4
243,0.0017239561992251407
244,0.001388952117989461
245,0.0012790312746967462
246,9.480184961827566E-4
247,9.734221067879168E-4
248,5.22341046316032E-4
249,0.0015113461207267246
250,7.069520918538115E-4
251,0.0014552297746969114
252,0.001224816693774058
253,6.521371931821185E-4
254,0.0011682873754201356
255,7.110906076318999E-4
256,0.0015092652544144189
257,9.154056036888473E-4
258,0.00115223361982073
259,5.877985875016086E-4
260,9.240926724873289E-4
261,0.0010024930521210379
262,0.0019075693985404387
263,3.4804664531948217E-4
264,6.436064348022953E-4
265,0.0015942703295641436
266,0.00118380820761063
267,6.897463633761954E-4
268,0.0015377463054099777
269,1.5000000000000001E-4
270,0.001352582330716136
271,0.0031047916657101883
